"CO_ANO";"CO_MES";"CO_NCM";"SG_UF_NCM";"VL_FOB"
2024;4;"84361000";"SC";3712
2024;2;"39202019";"SC";182
2024;4;"84212100";"SC";996
2024;5;"04090000";"SC";256500
2024;4;"33069000";"SC";28198
2024;4;"39259090";"SC";15616
2024;5;"20079990";"SC";329
2024;1;"39233090";"SC";269
2024;3;"61091000";"SC";1868
2024;2;"85364100";"SC";9252
2024;3;"85071090";"SC";291909
2024;2;"62045200";"SC";711
2024;1;"71162090";"SC";1314
2024;5;"85044050";"SC";351
2024;3;"85030090";"SC";88206
2024;1;"02032200";"SC";586
2024;1;"33021000";"SC";18
2024;3;"84835010";"SC";1130
2024;4;"19059090";"SC";59
2024;5;"54026300";"SC";1215
2024;2;"69072100";"SC";98438
2024;3;"44071100";"SC";5248206
2024;5;"85049030";"SC";233822
2024;3;"84099959";"SC";3271537
2024;4;"85015210";"SC";332124
2024;4;"85015210";"SC";12253
2024;1;"48193000";"SC";299067
2024;1;"29094419";"SC";2803
2024;4;"35061090";"SC";7997
2024;4;"85365090";"SC";1298
2024;2;"85045000";"SC";3687
2024;4;"69072100";"SC";26079
2024;1;"73101090";"SC";21572
2024;4;"85366990";"SC";103
2024;3;"74122000";"SC";71
2024;1;"83082000";"SC";2611
2024;1;"19022000";"SC";31
2024;5;"82055900";"SC";421
2024;2;"87081000";"SC";4383
2024;3;"28161010";"SC";30016
2024;3;"32041700";"SC";89
2024;5;"12019000";"SC";56402760
2024;5;"84099912";"SC";2661374
2024;3;"39181000";"SC";14675
2024;2;"84189900";"SC";436
2024;5;"61062000";"SC";597
2024;2;"44152000";"SC";158
2024;5;"85444200";"SC";298
2024;3;"61072100";"SC";396
2024;4;"84135090";"SC";7760
2024;3;"42032900";"SC";40
2024;3;"85437099";"SC";136900
2024;4;"85044050";"SC";172058
2024;2;"85472090";"SC";4
2024;1;"61102000";"SC";2
2024;3;"84818095";"SC";3411
2024;5;"85389090";"SC";2570
2024;2;"44081099";"SC";16256
2024;3;"94036000";"SC";1974261
2024;3;"84669330";"SC";1304
2024;3;"48194000";"SC";176
2024;3;"84219910";"SC";1885
2024;3;"05040090";"SC";13591
2024;5;"19021900";"SC";87
2024;1;"61103000";"SC";1326
2024;4;"94017100";"SC";279
2024;1;"07095900";"SC";31
2024;3;"61143000";"SC";12
2024;5;"90328911";"SC";1156
2024;5;"48182000";"SC";25633
2024;4;"62044300";"SC";11524
2024;4;"39269090";"SC";23
2024;5;"73181100";"SC";1832
2024;1;"48182000";"SC";93086
2024;5;"84831090";"SC";6751
2024;2;"90318099";"SC";43028
2024;5;"85015310";"SC";37746
2024;4;"62079100";"SC";1653
2024;1;"21069010";"SC";91
2024;5;"12019000";"SC";2492061
2024;3;"84389000";"SC";91
2024;2;"62059090";"SC";2743
2024;3;"02032900";"SC";1628305
2024;1;"83024200";"SC";74
2024;3;"84314929";"SC";832
2024;5;"85364900";"SC";934
2024;3;"84099190";"SC";50918
2024;3;"94044000";"SC";5570
2024;3;"65070000";"SC";25
2024;2;"44219900";"SC";154542
2024;4;"94049000";"SC";82618
2024;3;"44039800";"SC";1400754
2024;2;"30064011";"SC";17047
2024;3;"61012000";"SC";65544
2024;1;"18063110";"SC";6
2024;1;"84835010";"SC";234376
2024;2;"96151100";"SC";1085
2024;4;"44071100";"SC";887470
2024;4;"09109900";"SC";23
2024;2;"20029000";"SC";3
2024;3;"44071100";"SC";22774
2024;3;"04051000";"SC";286
2024;4;"85176239";"SC";5460
2024;4;"84183000";"SC";10858
2024;2;"90184999";"SC";5048
2024;3;"84818095";"SC";166
2024;2;"90212900";"SC";602
2024;4;"73182200";"SC";1315
2024;4;"84484920";"SC";410
2024;2;"02032900";"SC";3637
2024;4;"84283990";"SC";56840
2024;3;"39169090";"SC";291
2024;1;"85015110";"SC";303562
2024;3;"90328990";"SC";22323
2024;3;"61046900";"SC";7054
2024;5;"04032000";"SC";48
2024;2;"84136011";"SC";6129
2024;4;"76169900";"SC";637
2024;2;"94039900";"SC";187
2024;2;"44092200";"SC";145406
2024;3;"73182900";"SC";4026
2024;1;"04015029";"SC";27
2024;2;"60062300";"SC";30667
2024;2;"85015310";"SC";230151
2024;4;"08054000";"SC";42
2024;5;"02023000";"SC";3635
2024;4;"02071400";"SC";105965
2024;2;"34011190";"SC";3584
2024;5;"33021000";"SC";8
2024;4;"90261029";"SC";38
2024;4;"73182900";"SC";918
2024;5;"05040090";"SC";58365
2024;1;"94016900";"SC";4799
2024;4;"62064000";"SC";95
2024;3;"08071900";"SC";172
2024;4;"16042010";"SC";133
2024;2;"07019000";"SC";47
2024;5;"62042300";"SC";185
2024;2;"84099120";"SC";1280
2024;2;"85122023";"SC";3513
2024;1;"21021090";"SC";33
2024;1;"18063210";"SC";6
2024;5;"22090000";"SC";3
2024;3;"44071100";"SC";10525
2024;5;"86079900";"SC";11150
2024;2;"84799090";"SC";2030
2024;5;"85365090";"SC";503
2024;3;"02101100";"SC";39
2024;2;"02071400";"SC";154485
2024;4;"87083090";"SC";875
2024;4;"32149000";"SC";34120
2024;4;"84133010";"SC";251
2024;4;"07049000";"SC";528
2024;1;"69072200";"SC";60736
2024;3;"62034900";"SC";79
2024;5;"64062000";"SC";6540
2024;5;"73269090";"SC";206
2024;5;"19041000";"SC";32
2024;4;"40169300";"SC";389
2024;3;"84842000";"SC";10275
2024;1;"62063000";"SC";175
2024;5;"94035000";"SC";35342
2024;1;"73181600";"SC";332
2024;5;"41071220";"SC";74183
2024;5;"62023000";"SC";2212
2024;4;"84834010";"SC";82671
2024;4;"44111410";"SC";211246
2024;5;"44123900";"SC";618313
2024;1;"69072200";"SC";220
2024;4;"90328989";"SC";349
2024;2;"85369090";"SC";4328
2024;5;"07103000";"SC";38
2024;4;"38089419";"SC";70
2024;4;"44151000";"SC";34180
2024;5;"85235110";"SC";261
2024;3;"58022000";"SC";36192
2024;3;"65050021";"SC";56
2024;2;"85334019";"SC";102
2024;4;"07099300";"SC";68
2024;1;"84148011";"SC";3701
2024;3;"84839000";"SC";1541
2024;2;"39172300";"SC";295
2024;2;"62014000";"SC";18923
2024;3;"22011000";"SC";1423
2024;2;"61046300";"SC";24708
2024;4;"85072010";"SC";2197
2024;1;"19053100";"SC";130
2024;4;"44081099";"SC";50174
2024;1;"85413029";"SC";528
2024;2;"57050000";"SC";5458
2024;1;"85322200";"SC";1692
2024;5;"94032090";"SC";2546
2024;3;"61112000";"SC";73090
2024;2;"61062000";"SC";5008
2024;3;"94041000";"SC";46713
2024;3;"69072100";"SC";9763
2024;5;"84439990";"SC";14745
2024;5;"85389010";"SC";196
2024;2;"48030090";"SC";145011
2024;3;"07149000";"SC";13
2024;1;"02071400";"SC";217
2024;1;"96091000";"SC";72
2024;1;"22029900";"SC";701
2024;2;"62046200";"SC";4335
2024;3;"69072300";"SC";32200
2024;4;"07103000";"SC";8
2024;5;"85444200";"SC";16
2024;2;"73269090";"SC";1230
2024;3;"19059090";"SC";935
2024;5;"84389000";"SC";444
2024;5;"84385000";"SC";45167
2024;5;"44123900";"SC";5529129
2024;2;"17019900";"SC";47211
2024;2;"07061000";"SC";41
2024;4;"20082010";"SC";28
2024;1;"02109911";"SC";1428935
2024;2;"84849000";"SC";6287
2024;3;"21039091";"SC";228
2024;3;"21039021";"SC";332
